text,likes,platform,num_palabras
"Perhaps the reasons why the US never stays/rebuilds/learns has to do with America’s glorified hero culture, the cavalry coming guns blazing to save the moment, the “easy stuff”, so the aftermath -the “hardest part”- is irrelevant at a social psychology level, the purpose of invading is to keep feeding that self -serving image…",1.0,Instagram,53
❤️❤️❤️❤️❤️,1.0,Instagram,1
soooo cute 😍💞💞💞,1.0,Instagram,3
الفنااااان الفخم 👏,1.0,Instagram,3
😍😍😍❤️,1.0,Instagram,1
Bg sahby 🔥,1.0,Instagram,3
Are you walking the Jordan trail?!?,1.0,Instagram,6
I miss it!!!,1.0,Instagram,3
Também um belo e acolhedor país! 👏👏👏,1.0,Instagram,7
🥹🇯🇴🇯🇴,2.0,Instagram,1
Gorgeous ❤️❤️❤️,1.0,Instagram,2
फक्त मतदान आले की तुम्ही दिसता तालुक्यात असे कोणते पाच काम केले आहेत ते तुम्ही अगोदर सांगा नंतर मत मागा,1.0,Instagram,20
Que hermoso👏👏👏👏👏,1.0,Instagram,2
كتير  فرق 😍,1.0,Instagram,3
Amazing work Tala,1.0,Instagram,3
❤️❤️❤️🙌🙌🙌🙌,1.0,Instagram,1
جميل 👏,1.0,Instagram,2
From the river to the sea Palestine will be free 🇵🇸 we stand with Palestine ❤️🌱,2.0,Instagram,16
🔥😍🔥,1.0,Instagram,1
❤️❤️,1.0,Instagram,1
🔥🔥🔥,1.0,Instagram,1
واوووو برافو 👏🏽👏🏽👏🏽,1.0,Instagram,3
ابدااااااع مجد 👏 ... رائعة جدا ❤️❤️❤️,2.0,Instagram,7
Looks amazing!,1.0,Instagram,2
"No no, lo peor de todo es q yo no fui 😂",2.0,Instagram,12
Wow😍,2.0,Instagram,1
😍,1.0,Instagram,1
😢😢 want to go here so bad @sueinjac,0.0,Instagram,8
❤️❤️,1.0,Instagram,1
Love it❤️,1.0,Instagram,2
Elegant 👏,2.0,Instagram,2
🖤🤍💚❤️,1.0,Instagram,1
ممكن عنوانكم,1.0,Instagram,2
كم السعر,1.0,Instagram,2
Mashallah hayati beautiful ❤️,2.0,Instagram,4
"Coucou, tu y es en van?",1.0,Instagram,6
😍😍😍,1.0,Instagram,1
